Data Platform,Physician ID,First Name,Last Name,Gender,Age,Specialty,Years of Experience,Medical School,Board Certification,Referrals per Year
Osan3Alpha,406,Mila,Kim,F,43,Allergy and Immunology,17,Mount Sinai School of Medicine,American Board of Allergy and Immunology,33
Osan3Alpha,407,Evan,Song,M,48,Surgical Oncology,18,Memorial Sloan Kettering Cancer Center,American Board of Surgery,61
Osan3Alpha,408,Sofia,Tran,F,44,Head and Neck Surgery,19,University of Miami Miller School of Medicine,American Board of Otolaryngology,34
Osan3Alpha,409,Isaac,Wong,M,45,Neuropsychiatry,20,Harvard Medical School,American Board of Psychiatry and Neurology,30
Osan3Alpha,410,Grace,Kumar,F,41,Pediatric Hematology-Oncology,14,St. Jude Children's Research Hospital,American Board of Pediatrics,32
Osan3Alpha,411,Daniel,Chen,M,46,Transplant Hepatology,15,University of California San Francisco School of Medicine,American Board of Internal Medicine,309
Osan3Alpha,412,Sophie,Wu,F,42,Hospice and Palliative Medicine,16,Stanford University School of Medicine,American Board of Family Medicine,36
Osan3Alpha,413,Michael,Choi,M,47,Interventional Cardiology,17,Mayo Clinic College of Medicine and Science,American Board of Internal Medicine,63
Osan3Alpha,414,Evelyn,Kim,F,43,Diagnostic Radiology,18,University of Chicago Pritzker School of Medicine,American Board of Radiology,61
Osan3Alpha,415,Christopher,Liu,M,48,Orthopedic Sports Medicine,19,Hospital for Special Surgery,American Board of Orthopaedic Surgery,99
Osan3Alpha,416,Hannah,Ng,F,44,Child and Adolescent Psychiatry,20,University of Pittsburgh School of Medicine,American Board of Psychiatry and Neurology,62
Osan3Alpha,417,Joseph,Lim,M,49,Interventional Pulmonology,17,Johns Hopkins School of Medicine,American Board of Internal Medicine,106
Osan3Alpha,418,Abigail,Wang,F,45,Addiction Medicine,18,Massachusetts General Hospital,American Board of Addiction Medicine,42
Osan3Alpha,419,David,Lee,M,46,Plastic Surgery,19,University of Michigan Medical School,American Board of Plastic Surgery,96
Osan3Alpha,420,Samantha,Kwon,F,47,Pediatric Cardiology,20,Children's Hospital of Philadelphia,American Board of Pediatrics,41
Osan3Alpha,421,Andrew,Lin,M,48,Vascular Surgery,18,University of Texas Southwestern Medical Center,American Board of Surgery,57
Osan3Alpha,422,Grace,Kim,F,49,Neonatology,19,Harvard Medical School,American Board of Pediatrics,81
Osan3Alpha,423,William,Tran,M,50,Interventional Radiology,20,Stanford University School of Medicine,American Board of Radiology,130
Osan3Alpha,424,Mia,Chang,F,46,Cardiothoracic Surgery,21,Mayo Clinic College of Medicine and Science,American Board of Thoracic Surgery,81
Osan3Alpha,425,Nathan,Chung,M,47,Obstetrics and Gynecology,22,Johns Hopkins School of Medicine,American Board of Obstetrics and Gynecology,149
Osan3Alpha,426,Ava,Liu,F,48,Neurology,23,University of California Los Angeles David Geffen School of Medicine,American Board of Psychiatry and Neurology,124
Osan3Alpha,427,Ethan,Wu,M,49,Pediatric Infectious Diseases,24,University of Washington School of Medicine,American Board of Pediatrics,42
Osan3Alpha,428,Lucy,Koh,F,50,Neurological Surgery,25,University of Florida College of Medicine,American Board of Neurological Surgery,94
Osan3Alpha,429,Owen,Ng,M,46,Pediatric Nephrology,26,Children's Hospital of Pittsburgh,American Board of Pediatrics,43
Osan3Alpha,430,Audrey,Lim,F,47,Colon and Rectal Surgery,27,Weill Cornell Medical College,American Board of Colon and Rectal Surgery,104
Osan3Alpha,431,Benjamin,Kim,M,48,Cardiac Electrophysiology,28,New York-Presbyterian Hospital/Columbia University Medical Center,American Board of Internal Medicine,87
Osan3Alpha,432,Sophia,Chen,F,49,Pulmonary Medicine,29,University of California San Francisco School of Medicine,American Board of Internal Medicine,184
Osan3Alpha,433,Elijah,Lee,M,50,Female Pelvic Medicine and Reconstructive Surgery,30,Cleveland Clinic Lerner College of Medicine,American Board of Obstetrics and Gynecology,88
Osan3Alpha,434,Charlotte,Wong,F,46,Pediatric Rheumatology,31,Cincinnati Children's Hospital Medical Center,American Board of Pediatrics,30
Osan3Alpha,435,Gabriel,Choi,M,47,Hematology,32,University of Alabama School of Medicine,American Board of Internal Medicine,52
Osan3Alpha,436,Emma,Kwon,F,48,Plastic and Reconstructive Surgery,33,University of Texas Medical Branch,American Board of Plastic Surgery,90
Osan3Alpha,437,James,Lim,M,49,Pediatric Surgery,34,Baylor College of Medicine,American Board of Surgery,57
Osan3Alpha,438,Olivia,Kim,F,50,Pediatric Otolaryngology,35,Children's Hospital of Philadelphia,American Board of Otolaryngology,250
Osan3Alpha,439,Lucas,Chang,M,46,Pediatric Cardiac Surgery,36,University of Michigan Medical School,American Board of Thoracic Surgery,67
